time,volume,x,y,z,u_x,u_y,u_z,omega_x,omega_y,omega_z,area
0.0,0.52225283,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.13781353
0.00492483,0.52225228,3.3e-07,3.50002356,3.5e-07,-1.562e-05,0.00985053,-2.198e-05,5.4e-07,8.74e-06,-1.025e-05,3.13826526
0.0116771,0.52225153,1.4e-07,3.50012912,5.2e-07,-1.115e-05,0.0234243,-2.267e-05,-1.719e-05,1.229e-05,-2.17e-06,3.1377958
0.01906459,0.52225236,-2e-08,3.5003531,-2.5e-07,5.57e-06,0.03829552,-3.496e-05,1.87e-06,2.197e-05,-3.12e-06,3.13739342
0.02669696,0.5222509,9e-08,3.50069694,-5.1e-07,7.56e-06,0.05352858,-8.31e-06,-1.352e-05,8.54e-06,-1.009e-05,3.13718437
0.03442354,0.5222497,-5e-08,3.50116093,-7.1e-07,-2.684e-05,0.06888799,-5.321e-05,-1.6e-06,2.339e-05,-3.775e-05,3.13700852
0.04218544,0.52224917,-2.9e-07,3.50174729,-1.23e-06,-8.954e-05,0.08415936,-7.136e-05,-1.848e-05,7.4e-07,-2.759e-05,3.13706087
0.04996245,0.52224877,-7.9e-07,3.5024543,-1.54e-06,-0.00012712,0.09950657,-7.974e-05,-2.18e-05,-5e-06,-4.251e-05,3.1372107
0.05774326,0.52224881,-1.45e-06,3.50328044,-2.19e-06,-0.00013471,0.11470059,-8.696e-05,-2.456e-05,-6.54e-06,-2.937e-05,3.13724272
0.0655273,0.52224891,-2.45e-06,3.50422524,-2.7e-06,-0.00013308,0.12993119,-9.454e-05,-2.779e-05,-4.61e-06,-5.49e-06,3.13801274
0.07331458,0.5222485,-3.4e-06,3.50528845,-3.19e-06,-0.0001498,0.14514469,-7.792e-05,-3.172e-05,-4.2e-06,-1.238e-05,3.13843658
0.08110185,0.52224769,-4.7e-06,3.50647146,-3.63e-06,-0.00019508,0.16053158,-3.524e-05,-3.576e-05,3.2e-07,-1.084e-05,3.13916051
0.08888912,0.52224678,-6.03e-06,3.50777441,-4.06e-06,-0.00017895,0.17589435,-6.643e-05,-3.288e-05,-1.97e-06,8.7e-07,3.13985575
0.09667639,0.52224592,-7.32e-06,3.50919696,-4.55e-06,-0.00018474,0.19122322,-6.256e-05,-3.369e-05,-3.46e-06,-2.92e-06,3.1410674
0.10446367,0.5222451,-8.6e-06,3.51073852,-5.15e-06,-0.00016449,0.20650754,-6.738e-05,-3.543e-05,3.93e-06,4.83e-06,3.14193979
0.11225094,0.52224425,-9.91e-06,3.51239884,-5.78e-06,-0.00015848,0.22164898,-7.942e-05,-3.245e-05,2.88e-06,-3.96e-06,3.14223707
0.12003821,0.52224348,-1.125e-05,3.5141767,-6.36e-06,-0.00016583,0.23682061,-5.524e-05,-2.339e-05,6.99e-06,-5.95e-06,3.14177629
0.12782548,0.5222424,-1.251e-05,3.51607211,-6.76e-06,-0.0001539,0.2519116,-8.167e-05,-2.553e-05,-1.1e-06,-1.729e-05,3.14145542
0.13561276,0.52224101,-1.376e-05,3.51808553,-7.19e-06,-0.00021043,0.26701843,-5.382e-05,-3.27e-05,-2.7e-06,-2.609e-05,3.1408105
0.14340003,0.5222404,-1.518e-05,3.52021557,-7.45e-06,-0.00018465,0.28198844,-6.832e-05,-3.194e-05,2.53e-06,-1.571e-05,3.14012263
0.1511873,0.52223979,-1.66e-05,3.52246329,-8.03e-06,-0.00017367,0.29704442,-9.113e-05,-2.971e-05,1.82e-06,-4.58e-06,3.13973978
